id	company	role	application_status	listing_status	decision_reason
job-0352	ClickHouse	Senior Software Engineer (Typescript / FrontEnd) - AI/ML	not_started	open	work_authorization
job-0353	Nebius	Frontend Engineer - User Interface	not_started	open	geo_restriction
job-0354	Nebius	Software Engineer (Early Talent)	not_started	open	geo_restriction
job-0355	Tether Operations Limited	Bare Developer (100% Remote - Worldwide) - C / JavaScript	not_started	open	stack_mismatch
job-0356	Tether Operations Limited	Research Engineer Intern (Multimodal LLM)	not_started	open	stack_mismatch
job-0357	Tether Operations Limited	P2P Node.js Engineer - Holepunch (100% Remote, Worldwide)	not_started	open	seniority_too_high
job-0358	Tether Operations Limited	Software Engineer P2P - Search Team (100% Remote, Worldwide)	not_started	open	role_not_frontend
job-0359	Make	Frontend Engineer	not_started	closed	closed_before_application
job-0360	Make	Frontend Engineer (Freelance)	not_started	closed	closed_before_application
job-0361	Make	General Application - Remote (global)	reviewing	open	
job-0362	Сальдо	AI Junior+ Full-stack Developer	reviewing	open	
job-0363	Undisclosed healthcare / biotech company	Junior SharePoint Dashboard Developer	not_started	unknown	geo_restriction
job-0364	Interview Copilot AI	Frontend Engineer	not_started	closed	closed_before_application
job-0365	Scanwick	Founding Frontend Engineer	not_started	open	salary_too_low
job-0366	Horizon Asset Investments	Front-End Developer (Full-Time, Remote)	not_started	open	seniority_too_high
job-0367	Billcit	Full Stack Developer	not_started	open	company_not_interesting
job-0368	Fitmate Coach	Junior Frontend Software Engineer	not_started	open	geo_restriction
job-0369	PeakTew	Flutter Front End Developer I Mobile app & website	not_started	open	salary_too_low
job-0370	FetchJobs.co	Frontend Developer	not_started	closed	closed_before_application
job-0371	Interia.pl Group	Junior Frontend Developer/ka	not_started	closed	closed_before_application
job-0372	Accenture DACH	(Junior) Frontend Engineer (all genders)	not_started	open	geo_restriction
job-0373	Revolut	Graduate Programme 2027: Software Engineer (Frontend)	not_started	open	other
job-0374	Subsidia	Frontend Software Engineer(Junior)	not_started	open	geo_restriction
job-0375	Conquer AI	Software Engineer	not_started	open	geo_restriction
job-0376	Waitwhile	Frontend Software Engineer	not_started	open	geo_restriction
job-0377	Talon.One	Frontend Engineer	not_started	open	geo_restriction
job-0378	SAP Fioneer	SAP Fiori Developer	not_started	open	stack_mismatch
job-0379	ApplyChill	Vibecoder	not_started	closed	closed_before_application
job-0380	Talent Sam	Front-End Developer	applied	open	
job-0381	SIL International	Web Developer	not_started	open	salary_too_low
job-0382	TraceRoot.AI	Software Engineering Intern	not_started	unknown	geo_restriction
job-0383	TraceRoot.AI	Founding Engineer	not_started	unknown	geo_restriction
job-0384	TraceRoot.AI	GTM Engineer Intern	not_started	unknown	role_not_frontend
job-0385	Authologic	Senior Frontend Engineer	not_started	unknown	seniority_too_high
job-0386	Pax	Software Engineer (Early Career)	not_started	unknown	geo_restriction
job-0387	Caribou	Full Stack Software Engineer (Frontend-leaning)	not_started	unknown	geo_restriction
job-0388	Seeing Systems	Software Engineering Intern	not_started	unknown	role_not_frontend
job-0389	Clinikally	Frontend Engineer	not_started	unknown	geo_restriction
job-0390	Supabase	Developer Relations Engineer	not_started	open	other
job-0391	Discovered Labs	Content Engineer (Internal)	not_started	open	seniority_too_high
job-0392	NBA	Project Employee, NBA Social Content Publisher	not_started	open	geo_restriction
job-0393	SecurityBridge	Software Engineer (C, Authentication & Identity) – Remote (f/m/d)	not_started	unknown	stack_mismatch
job-0394	Umbrel	Customer Support (technical)	applied	open	
job-0395	torentify	Frontend Developer - Remote	not_started	unknown	seniority_too_high
job-0396	AgileGrid Solutions	Frontend Developer	not_started	closed	closed_before_application
job-0397	PPLIED	Frontend Developer	not_started	unknown	geo_restriction
job-0398	The Pokémon Company International	Frontend Software Development Engineer	not_started	unknown	seniority_too_high
job-0399	dreifach.ai	(Senior) AI/TypeScript Entwickler:in, remote (m/w/d) in KI-Startup	not_started	open	other
job-0400	Clera	Product Engineer	not_started	unknown	geo_restriction
job-0401	TechJobsData	Frontend Engineer	reviewing	unknown	
job-0402	Talanto	Frontend Developer (React, Next.js, NestJS)	not_started	unknown	seniority_too_high
job-0403	Major Scale	Design Engineer / Front End Engineer / Product Engineer	not_started	unknown	geo_restriction
job-0404	ListLab	Remote Frontend Developer	not_started	closed	closed_before_application
job-0405	micro1	Design & Frontend Specialist	reviewing	unknown	
job-0406	micro1	Frontend Engineer Specialist	reviewing	unknown	
job-0407	Tether Operations Limited	Frontend Software Engineer (100% Remote)	not_started	unknown	seniority_too_high
job-0408	Sovos	Software Engineer II (Node.js & React)	not_started	unknown	other
job-0409	Epic Games	Web Engineer Intern	reviewing	open	
job-0410	Wonderdog	Full-Stack Product Engineer - Agentic First	not_started	unknown	geo_restriction
job-0411	Yooli	FULL TIME: Software Engineer Position - React and Rest	not_started	unknown	seniority_too_high
job-0412	Indy	Software Engineer - Developer Experience	not_started	open	geo_restriction
job-0413	Huwise	Software Engineer	not_started	open	geo_restriction
job-0414	Constructor	FullStack Engineer - Prospect UI Solutions	applied	open	
job-0415	AICerts.ai	Frontend Developer	applied	open	
job-0416	Undisclosed (TalentMove 269674)	Junior Frontend Developer (React / TypeScript)	not_started	unknown	other
job-0417	Talent Magnet / CareerGo	Frontend Developer (React / TypeScript)	not_started	open	seniority_too_high
job-0418	XFORIA Inc	React.JS Developer	reviewing	unknown	
job-0419	SahayPay Technologies	Frontend Engineer (React)	reviewing	unknown	
job-0420	MartSpec	Frontend Developer Intern (React / TypeScript)	not_started	open	salary_too_low
job-0421	Undisclosed (TalentMove 260684)	Frontend Developer Intern (React)	not_started	unknown	other
job-0422	Atorline	Junior Frontend Developer	applied	open	
job-0423	Undisclosed digital studio (TalentMove 264516)	Frontend Engineer	reviewing	unknown	
job-0424	Undisclosed (TalentMove 266369)	Product Engineer	not_started	unknown	role_not_frontend
job-0425	Slate (Supporting Cast)	Software Engineer	not_started	open	geo_restriction
job-0426	MojoRank	Junior Front End Developer	not_started	open	other
job-0427	Clarity AI	Junior Software Engineer - Consumer Team	not_started	open	stack_mismatch
job-0428	ProntoPro	Junior Frontend Engineer	not_started	open	geo_restriction
job-0429	Viseven	Junior Front-end Developer	not_started	open	geo_restriction
job-0430	Precisely	Associate Experience Engineer	not_started	open	geo_restriction
job-0431	netcare d.o.o.	Software Tester for Web-projects	not_started	unknown	role_not_frontend
job-0432	Log-hub d.o.o.	Junior Full Stack Developer	not_started	unknown	other
job-0433	NB SOFT Agencija za programiranje	Junior PHP programer - praksa	not_started	unknown	stack_mismatch
job-0434	NB SOFT Agencija za programiranje	eCommerce Content and Implementation Specialist praksa	not_started	unknown	role_not_frontend
job-0435	Arista Networks	Senior C++ Engineer - SONiC	not_started	unknown	seniority_too_high
job-0436	The Global Move	1700+ Curated Visa Sponsorship and Remote Tech Jobs (Paid Option)	not_started	unknown	other
job-0437	PayPay	Cloud Platform Engineer (DB Specialist)	not_started	unknown	seniority_too_high
job-0438	Arabian Private Holdings	Junior UI Engineer	reviewing	unknown	
job-0439	PULSE (MENA)	Junior Front End Developer	reviewing	unknown	
job-0440	Synako	Développeur.se Full Stack – Product Engineer	reviewing	unknown	
job-0441	360Learning	Software Engineer	not_started	unknown	geo_restriction
job-0442	Assured Guaranty	Product Software Developer – Front-End - Summer 2027	not_started	open	geo_restriction
job-0443	Amperesand	Software Intern, Factory & Ops	not_started	open	work_authorization
job-0444	Beamlink	Front-end Designer	not_started	open	geo_restriction
job-0445	Samsara	Software Engineer I, External Platform EMEA (Poland, Remote)	not_started	open	geo_restriction
job-0446	Utility Profit	Full Stack Software Engineer — AI & Automation	not_started	open	seniority_too_high
job-0447	RapidSOS	Software Engineer II, AI	not_started	open	geo_restriction
job-0448	Asendia AI	Product Engineer	not_started	unknown	geo_restriction
job-0449	Aside	MTS - Founding Designer	reviewing	unknown	
job-0450	Regbase	Design Engineer	not_started	unknown	work_authorization
job-0451	Adventure Travel 365	Senior Full-Stack Developer - Marketplace Web & Mobile Platform	not_started	open	seniority_too_high
job-0452	Proxify AB	Senior Fullstack Developer (React.js / Node.js)	not_started	open	seniority_too_high
job-0453	Sticker Mule	Software engineer	not_started	open	seniority_too_high
job-0454	CircleCI	Software Engineer	not_started	open	seniority_too_high
